,BuildingID,ViolationID
48505,81691,98
24329,358667,98
19921,324293,98
3280,122005,98
41518,66848,98
13245,248106,98
42369,682378,98
44709,749567,97
13351,249581,97
15215,28125,97
55858,97425,97
13455,2516,97
33619,47759,97
15228,28141,97
8429,193135,97
8952,20154,97
34401,49749,97
9878,211474,97
29902,4168,97
9253,205689,97
2291,116847,97
38847,6170,97
45936,80049,97
38885,6185,97
50834,879772,97
49007,823733,97
48393,815026,97
7838,185969,97
36606,55169,97
22880,347786,97
1210,109421,97
11103,221389,97
4005,129366,97
24130,357358,97
21012,334504,97
15465,283221,97
36086,53671,97
11817,228500,97
27536,383101,97
6383,162819,96
41188,66393,96
38229,59887,96
44103,72049,96
5306,146463,96
10594,21785,96
13750,257674,96
16428,29069,96
2982,120373,96
35241,51572,96
6524,165060,96
46611,805990,96
40320,65040,96
46716,806352,96
48271,812480,96
14450,27014,96
208,10073,96
38252,59928,96
27540,383114,95
47003,807450,95
2745,119063,95
20796,332335,95
33568,47588,95
56088,97694,95
13619,2552,95
56334,98104,95
16285,289768,95
39840,640809,95
15966,287579,95
34360,49684,95
52676,91513,95
36934,560460,95
42432,68348,95
14658,27340,95
3171,121195,95
13295,248835,95
3248,121524,95
8641,196551,95
1761,112867,95
50376,8696,95
3130,120972,95
3057,120631,94
13127,246920,94
2344,116980,94
22655,347162,94
44618,74521,94
15317,282077,94
4204,130696,94
11838,228673,94
15142,28043,94
15397,282688,94
34887,50998,94
24759,362321,94
48646,818548,94
44106,72055,94
13215,247806,93
61,100182,93
35750,52725,93
1579,111669,93
27577,383395,93
47126,807901,93
26705,37676,93
13247,248156,93
24371,359185,93
48765,82001,93
22090,342863,93
1603,111939,93
3434,123088,93
56026,97610,93
25089,3640,93
50514,87328,93
24630,36092,93
9941,21212,93
14816,27603,93
29668,41399,93
52923,92449,93
1884,114410,93
1061,108511,93
23403,351597,93
46801,806568,92
3550,124832,92
13490,25232,92
37644,57878,92
31679,43414,92
13052,245742,92
28852,398197,92
14821,27609,92
46038,803888,92
18347,309218,92
34888,50999,92
1089,108629,92
37587,57765,92
27655,38387,92
54238,94510,92
37222,56815,92
4239,130876,92
778,10600,92
13332,249541,92
16259,28956,92
45755,79433,92
23732,3538,92
2935,119895,92
2748,119067,91
30077,4189,91
10297,214826,91
10638,218226,91
31229,43034,91
50027,857160,91
47957,810810,91
30248,42103,91
16464,291153,91
7035,173954,91
41438,66780,91
46989,807415,91
1247,109462,91
5294,146095,91
34235,49400,91
16111,288100,91
44321,73382,91
28968,398836,91
45106,772585,91
24172,357655,91
40008,64487,91
54177,94402,91
13721,257017,91
2688,118940,90
3279,122004,90
54148,94376,90
16308,28991,90
56047,97639,90
14998,27904,90
5367,147240,90
26173,373995,90
494,103531,90
1900,114440,90
44347,73471,90
11839,228674,90
7909,186632,90
56841,99253,90
21707,339746,90
14636,27321,90
32397,445360,90
3317,122162,90
13651,256032,90
22738,347340,90
29318,40771,90
25056,363909,90
26358,375001,90
15888,287185,90
13493,25240,90
26631,376413,90
31798,43540,90
16246,28947,90
24885,363149,89
37637,57858,89
27378,381702,89
1059,108509,89
3177,121212,89
11569,226447,89
51129,88527,89
9376,20679,89
48645,81851,89
2681,118900,89
48773,82015,89
13261,24824,89
13536,253175,89
39099,6279,89
54980,95699,89
38464,60434,89
2337,116957,89
41102,66301,89
22039,342577,89
2403,117120,89
34890,51001,89
29404,40939,89
38356,60124,89
33789,483074,89
28445,395068,89
6392,162828,89
34119,49167,89
25399,367889,88
35133,513337,88
12523,236396,88
7892,186479,88
248,101163,88
37979,59140,88
13517,25306,88
29262,40692,88
34636,50420,88
5134,143897,88
23370,351350,88
11809,22840,88
24471,359929,88
16937,296968,88
2295,116869,88
29748,41484,88
27826,385862,88
36825,55767,88
35726,52675,88
19885,324081,88
41730,67194,88
41991,67518,88
26613,376352,88
10906,219987,88
10573,217719,88
