BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1015540007,"$207,113.00",$0.00,"$207,113.00",$0.00,$0.00,$0.00,"$207,113.00",$0.00,"$86,582.00"
1018420047,"$207,113.00",$0.00,"$207,113.00",$0.00,"$44,580.00",$0.00,"$251,693.00",$0.00,"$149,937.00"
1010410004,"$207,021.00","$70,200.00","$277,221.00",$0.00,"$72,480.00",$0.00,"$349,701.00",$0.00,"$72,442.00"
1007940064,"$206,605.00","$337,200.00","$543,805.00",$0.00,"$102,400.00","$14,158.00","$679,349.00",$0.00,"$161,376.00"
3019140035,"$206,415.00",$0.00,"$206,415.00",$0.00,$0.00,$0.00,"$206,415.00",$0.00,"$55,822.00"
4006530080,"$206,367.00",$0.00,"$206,367.00",$0.00,$0.00,$0.00,"$206,367.00",$0.00,"$142,191.00"
1019280036,"$206,362.00",$0.00,"$206,362.00",$0.00,"$83,077.00",$0.00,"$289,439.00",$0.00,"$125,630.00"
2031040001,"$206,215.00",$0.00,"$206,215.00",$0.00,$0.00,"$765,811.00","$978,451.00",$0.00,"$736,129.00"
3030520027,"$206,062.00",$0.00,"$206,062.00",$0.00,$0.00,$0.00,"$206,062.00",$0.00,"$99,140.00"
1011630020,"$206,006.00","$661,584.00","$867,590.00","$107,200.00",$0.00,$0.00,"$992,527.00",$0.00,"$308,810.00"
4006630045,"$205,964.00",$0.00,"$205,964.00",$0.00,"$206,400.00",$0.00,"$412,364.00","$9,439.00","$90,976.00"
2030660029,"$205,940.00",$0.00,"$205,940.00",$0.00,$0.00,$0.00,"$209,008.00",$0.00,"$137,211.00"
3016570075,"$205,631.00",$0.00,"$205,631.00",$0.00,$0.00,"$23,848.00","$229,479.00",$0.00,"$124,878.00"
4007940033,"$205,503.00","$30,431.00","$235,934.00",$0.00,"$48,591.00",$0.00,"$285,085.00",$0.00,"$206,565.00"
1011850031,"$205,490.00",$0.00,"$205,490.00",$0.00,$0.00,$0.00,"$205,490.00",$0.00,"$97,546.00"
4006900010,"$205,383.00",$0.00,"$205,383.00",$0.00,$0.00,"$1,560.00","$206,943.00",$0.00,"$166,057.00"
