BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
1004470050,"$68,525",$0,"$68,525",$0,"$32,400",$0,$0,"$100,925",$0," $ 35,712 "
1013260038,"$68,525",$0,"$68,525",$0,"$160,000",$0,$0,"$228,525",$0," $ 74,174 "
1009150001,"$68,393","$228,224","$296,617","$636,990",$0,$0,$0,"$1,041,526","$21,299"," $ 335,893 "
1009150002,"$68,393",$0,"$68,393","$228,224","$636,990",$0,$0,"$1,041,526","$21,299"," $ 335,893 "
1006210038,"$68,364","$169,644","$238,008",$0,"$209,189",$0,$0,"$447,197",$0," $ 133,862 "
1020620001,"$68,241",$0,"$68,241",$0,"$18,000",$0,$0,"$86,241",$0," $ 73,641 "
4049540018,"$68,160",$0,"$68,160",$0,$0,$0,$0,"$68,160",$0," $ 40,813 "
1004360005,"$68,111","$121,086","$189,197",$0,"$165,000",$0,$0,"$354,197",$0," $ 96,124 "
1009180060,"$68,088","$48,620","$116,708",$0,"$118,773",$0,$0,"$237,558",$0," $ 54,710 "
2041310061,"$68,031",$0,"$68,031",$0,$0,$0,$0,"$68,031",$0," $ 38,700 "
1013230010,"$67,840",$0,"$67,840","$86,607",$0,$0,$0,"$154,447",$0," $ 75,491 "
1009190027,"$67,550","$284,426","$351,976",$0,"$108,831",$0,$0,"$485,612",$0," $ 115,992 "
1003720010,"$67,524",$0,"$67,524",$0,$0,$0,$0,"$67,524",$0," $ 75,868 "
1013950039,"$67,500",$0,"$67,500","$284,938",$0,$0,$0,"$352,438","$10,417"," $ 67,379 "
1015200056,"$67,428","$321,803","$389,231",$0,"$240,370",$0,$0,"$631,217","$18,885"," $ 229,029 "
1014040060,"$67,380","$76,805","$144,185",$0,$0,$0,$0,"$154,874",$0," $ 70,952 "
3060340075,"$67,304",$0,"$67,304",$0,$0,$0,$0,"$67,304",$0," $ 21,900 "
1010670050,"$67,284","$281,078","$348,362",$0,$0,$0,$0,"$348,362","$12,780"," $ 102,780 "
3025240007,"$67,265",$0,"$67,265",$0,$0,$0,$0,"$87,139",$0," $ 48,324 "
4050080037,"$67,200",$0,"$67,200",$0,$0,$0,$0,"$67,200",$0," $ 13,140 "
2057850247,"$66,979",$0,"$66,979","$10,800",$0,$0,$0,"$77,779",$0," $ 68,759 "
3044780004,"$66,949",$0,"$66,949",$0,$0,$0,$0,"$83,749",$0," $ 67,615 "
1005900021,"$66,889","$251,630","$318,519",$0,$0,$0,$0,"$318,519","$2,100"," $ 89,870 "
1001990020,"$66,807",$0,"$66,807",$0,"$93,588",$0,$0,"$160,395",$0," $ 64,427 "
1006110045,"$66,720","$448,592","$515,312",$0,"$33,396",$0,$0,"$556,785",$0," $ 154,645 "
